"id","prevExp","jobResp","training","research","gathering","engage","metrics","socialMedia","degree","security","position","newsroom","researchFreq","engageFreq","subregion"
2,"3,5,6","null","4,14,23,24","4,6,9,15","1,2,9,10,16,17","16","3","1:2,2:2","2,4","5,8","7",4,"1:3,2:3,3:2,4:2,5:1,6:1,7:2,8:2","null","North America"
6,"3","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:2,10:2,11:3,12:3,13:3,14:3,15:3,16:3,17:3,18:3,19:2,20:3,21:2,22:3,23:3,24:3,25:3","1,2,4,5,10,11,13,23,24","2,4,9,15","1,2,3,5,11,14,18,19,20","2,5,9,16","1,2,3,6,7,9,13,16,17,18,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","1","2,3,4,8","7",1,"1:3,2:3,3:3,4:2,5:2,6:3,7:3,8:3","1:3,2:3,3:3,4:3,5:3,6:3,7:2","Sub-Saharan Africa"
7,"1,3,5","1:2,2:2,3:2,4:2,5:2,6:2,7:1,8:2,9:2,10:2,11:2,12:2,13:1,14:1,15:2,16:2,17:2,18:2,19:2,20:2,21:2,22:2,23:2,24:2,25:2","22,23,24","13,15","3,8,14,17,20,21","1,12,13,16","22","1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1,9:1,10:1,11:1,12:1","null","2,8","6",4,"1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1","1:1,2:1,3:1,4:1,5:1,6:1,7:1","North America"
8,"1,2,3,4,5","1:3,2:3,3:3,4:2,5:0,6:1,7:2,8:3,9:1,10:0,11:3,12:3,13:0,14:0,15:0,16:2,17:1,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:3","1,4,7,23,24","4,15","1,2,8,9,14,20","8,16","2,6,7,8,20","1:2,2:3,3:2,4:0,5:1,6:2,7:2,8:0,9:0,12:2","3","8","8",6,"1:2,2:2,3:2,4:1,5:1,6:2,7:2,8:2","1:3,2:3,3:2,4:1,5:1,6:2,7:2","North America"
9,"2,3,4","1:2,2:2,3:1,4:1,5:0,6:0,7:1,8:3,9:3,10:2,11:3,12:2,13:0,14:0,15:3,16:3,17:3,18:0,19:0,20:0,21:1,22:1,23:0,24:0,25:2","4,8,20,23,24","1,3,4,15","1,2,5,9,17,18,20,21","1,2,11,16","2,7,21","1:2,2:3,4:3,5:3,6:3,7:3,8:2,9:3,10:1,11:2,12:3","1","6,8","5",1,"1:3,2:3,3:2,4:1,5:0,6:3,7:2,8:2","2:3,3:3,5:3","Sub-Saharan Africa"
10,"3","1:3,2:3,3:3,4:3,5:0,6:0,7:1,8:1,9:1,10:1,11:2,12:3,13:3,14:0,15:1,16:1,17:1,18:1,19:1,20:0,21:0,22:1,23:0,24:1,25:1","1,2,15,23,24","1,4,9,15","1,3,5,9,10,11,20","1,2,13,16","6,18,19","1:3,2:3,3:3,4:2,5:3,6:3,7:2,8:1,9:2,10:0,11:0,12:2","3","4,8","5",1,"1:3,2:3,3:2,4:3,5:2,6:1,7:1,8:1","1:3,2:0,3:1,4:0,5:0,6:0,7:0","Middle East and North Africa"
11,"3,4","1:3,2:2,3:2,4:3,5:2,6:3,7:1,8:3,9:2,10:2,11:3,12:3,13:1,14:1,15:2,16:3,17:3,18:2,19:1,20:1,21:1,22:2,23:1,24:1,25:0","1,2,9,23,24","1,4,8,15","1,2,7,9,10,12,15,20","1,2,3,4,8,13,16","1,2,4,5,7,8,9,19,21","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3","null","2,8","1",4,"1:3,2:3,3:2,4:3,5:1,6:3,7:2,8:2","1:3,2:3,3:2,4:3,5:3,6:3,7:2","Sub-Saharan Africa"
13,"7","1:3,2:1,3:1,4:1,5:1,6:2,7:1,8:2,9:2,10:2,11:1,12:1,13:0,14:0,15:0,16:3,17:2,18:1,19:0,20:0,21:1,22:0,23:0,24:0,25:1","1,5,15,23,24","4,15","1,7,9,10,12,14,17","2,12,13,16","1,2,3,5,7,8","1:2,2:3,3:2,4:0,5:0,6:3,7:2,8:2,9:1,10:1,11:1,12:1","3,4","6,8","5",4,"1:1,2:1,3:0,4:2,5:0,6:0,7:1,8:2","1:3,2:2,3:0,4:0,5:0,6:0,7:1","North America"
14,"2","1:2,2:1,3:1,4:3,5:0,6:1,7:1,8:3,9:2,12:1,16:1,17:1,18:0,19:0,20:0,21:0,22:0,23:0,24:2,25:2","4,6,7,19,23,24","9,15","1,2,5,7,8,9,10,12,13,14,18,19,20","2,16","22","1:2,2:2,3:2,4:1,5:2,6:2,7:2,8:1,9:1,10:0,11:0,12:2","3,4","1,2,4,8","1",6,"1:2,2:2,3:2,4:2,5:1,6:1,7:2,8:2","1:3,2:3,7:3","North America"
15,"1,2,4,6","1:3,2:3,3:1,4:1,5:0,6:0,7:2,8:1,9:3,10:2,11:2,12:2,13:0,14:0,15:1,16:2,17:2,18:1,19:1,20:1,21:2,22:2,23:1,24:3,25:2","1,4,5,19,23,24","1,4,15","1,9,10,14,21","2,3,16","4,7,10","1:1,2:2,3:2,4:2,5:2,6:3,7:3,8:2,9:3,10:3,11:3,12:3","4","6,8","4",4,"1:3,2:0,3:1,4:2,6:1,7:1,8:1","1:3,2:0,3:1,4:2,5:2,6:1,7:0","Europe"
17,"1","1:2,2:3,3:0,4:0,5:0,6:0,7:1,8:2,9:2,10:2,11:2,12:0,13:0,14:0,15:2,16:0,17:0,18:0,19:0,20:0,21:2,22:2,23:0,24:2,25:2","22,23,24","13,15","9,10,12,14,17,18,20,21","1,2,4,16","1,2,3,4,5,6,7,10,11,16,17,18,19,20,21","1:2,2:3,3:2,4:1,5:3,6:3,7:2,8:1,9:3,10:1,11:1,12:2","2","2,3,8","5",4,"1:0,2:0,3:0,4:2,5:0,6:2,7:0,8:2","1:3,2:0,3:0,4:3,5:1,6:1,7:1","Latin America and the Caribbean"
